Campaign Name,Mediaplan,Campaign Mp Label,Datasource_y
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
MCMPR_2020_GTM_KELLOGGS_CHEEZIT_SEASONAL_GALLETAOSNACK_AUDIO_MID-MORNINGSNACK,2020_ktbo_kube_Adverity_Mediaplan_EneroAgosto-AllRegions,MCMPR_2020_GTM_Kelloggs_Cheez It_Seasonal_Galleta o Snack_Audio_Mid-Morning snack,Other Channels
